번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모
457,관광펜션업,03_11_02_P,4301000,CDFI3261092016000001,2016-03-07,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 철원군 서면 와수리 1157-7,강원특별자치도 철원군 서면 와수로110번안길 52,24058,스마일펜션,2023-03-08 11:25,I,2023-06-13 0:00,,238365.4628,526144.4589,관광펜션업,,일반주거지역,2,주택가주변,,,단독주택,2,0,0,0,,,0,0,,0,0,,0,566,,0,,,,,,,700000000,,,,566
458,관광펜션업,03_11_02_P,4301000,CDFI3261092018000001,2018-05-17,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 철원군 서면 와수리 885,강원특별자치도 철원군 서면 와수로240번길 12,24058,하늘빛,2018-05-17 21:38,I,2023-06-13 0:00,,238792.844,526765.8954,관광펜션업,,일반주거지역,2,,,,단독주택,0,0,0,0,,,0,0,,0,0,,0,226.87,,0,,,,,,,350000000,,,,227
459,관광펜션업,03_11_02_P,4301000,CDFI3261092018000002,2018-05-17,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 철원군 서면 와수리 885,강원특별자치도 철원군 서면 와수로240번길 12,24058,하늘빛투,2018-05-17 21:39,I,2023-06-13 0:00,,238792.844,526765.8954,관광펜션업,,일반주거지역,2,,,,단독주택,0,0,0,0,,,0,0,,0,0,,0,226.87,,0,,,,,,,350000000,,,,227
460,관광펜션업,03_11_02_P,4261000,CDFI3261092006000003,2006-10-17,,01,영업/정상,13,영업중,,,,,,,225-862,강원특별자치도 횡성군 서원면 석화리 232,강원특별자치도 횡성군 서원면 월송석화로 98-33,,변경 전 : 오크파인트리펜션 변경 후 : 펜션 별을 쏘다.,2020-12-08 14:26,I,2023-06-13 0:00,,271565.8826,439012.9393,관광펜션업,관광사업,관리지역,2,기타,,,단독주택,2,0,0,0,,,0,0,,0,0,,0,149.22,,0,,,,,,,270000000,,,,149
461,관광펜션업,03_11_02_P,4261000,CDFI3261092008000001,2008-01-28,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 횡성군 둔내면 삽교리 795,강원특별자치도 횡성군 둔내면 용현로 466-12,25261,별무리관광펜션,2018-01-18 22:10,I,2023-06-13 0:00,,311030.6712,449212.7176,관광펜션업,관광사업,관리지역,1,기타,,,단독주택,1,0,0,0,,,0,0,,0,0,,0,300.08,,0,,,,,,,0,,,,300
462,관광펜션업,03_11_02_P,4251000,CDFI3261092019000003,2019-12-05,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 서면 모곡리 305-15,강원특별자치도 홍천군 서면 설밀길 190-19,25100,토리아이풀빌라스파2동,2024-01-08 16:12,U,2024-01-10 2:40,,252148.2667,464499.8691,관광펜션업,,관리지역,1,기타,,,숙박시설,0,0,0,0,,,0,0,,0,0,,0,54.3,,0,,,,,,,0,,,,54
463,관광펜션업,03_11_02_P,4251000,CDFI3261092019000004,2019-12-05,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 서면 모곡리 305-4,강원특별자치도 홍천군 서면 설밀길 190-5,25100,토리아이풀빌라키즈,2024-01-08 16:12,U,2024-01-10 2:40,,252075.0251,464503.2674,관광펜션업,,관리지역,1,기타,,,숙박시설,1,0,0,0,,,0,0,,0,0,,0,76.72,,0,,,,,,,0,,,,77
464,관광펜션업,03_11_02_P,4261000,CDFI3261092023000001,2023-03-06,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 횡성군 갑천면 삼거리 101-2,강원특별자치도 횡성군 갑천면 외갑천로585번길 5-13,25252,힐 스프링,2024-01-26 11:37,U,2024-01-28 2:40,,294320.0375,452122.8859,관광펜션업,,,2,,,,,0,0,0,0,,,0,0,,0,0,,0,135.2,,0,,,,,,,0,,,,135
465,관광펜션업,03_11_02_P,4251000,CDFI3261092019000005,2019-12-05,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 서면 모곡리 305-7,강원특별자치도 홍천군 서면 설밀길 190-9,25100,토리아이풀빌라,2024-01-08 16:12,U,2024-01-10 2:40,,252119.0488,464534.3377,관광펜션업,,관리지역,1,기타,,,숙박시설,1,0,0,0,,,0,0,,0,0,,0,76.36,,0,,,,,,,0,,,,76
466,관광펜션업,03_11_02_P,4251000,CDFI3261092021000001,2021-04-30,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 서면 굴업리 312,강원특별자치도 홍천군 서면 굴업솔골길 25,25103,오캄럭스클럽H,2022-01-12 16:20,I,2023-06-13 0:00,,259183.8201,457752.1067,관광펜션업,,관리지역,3,기타,,,숙박시설,3,0,0,0,,,0,0,,0,0,,0,563,,0,,,,,,,0,,,,563
467,관광펜션업,03_11_02_P,4251000,CDFI3261092021000002,2021-12-31,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 서면 굴업리 280-1,강원특별자치도 홍천군 서면 굴업솔골길 60-13,25103,펜션아이리스,2022-01-12 16:20,I,2023-06-13 0:00,,259541.6277,457862.0445,관광펜션업,,관리지역,2,,,,숙박시설,0,0,0,0,,,0,0,,0,0,,0,425.82,,0,,,,,,,0,,,,426
468,관광펜션업,03_11_02_P,4251000,CDFI3261092022000001,2022-03-14,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 서면 대곡리 1027-12,강원특별자치도 홍천군 서면 한서로 1468-55,25103,유리트리트,2023-01-18 9:49,I,2023-06-13 0:00,,255901.6844,459568.1229,관광펜션업,,관리지역,2,,,,숙박시설,0,0,0,0,,,0,0,,0,0,,0,1595.29,,0,,,,,,,0,,,,1595
469,관광펜션업,03_11_02_P,4251000,CDFI3261092022000002,2022-08-10,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 내면 율전리 1228,강원특별자치도 홍천군 내면 우물골길 87,25169,반디별 펜션,2023-01-18 9:50,I,2023-06-13 0:00,,313232.4819,474567.1868,관광펜션업,,관리지역,2,,,,다가구용 주택(공동주택적용),2,0,0,0,,,0,0,,0,0,,0,195.58,,0,,,,,,,0,,,,196
470,관광펜션업,03_11_02_P,4251000,CDFI3261092022000003,2022-11-09,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 북방면 노일리 736,강원특별자치도 홍천군 북방면 노일로 206-9,25111,빌리지 736,2023-01-18 9:50,I,2023-06-13 0:00,,264801.6955,464218.4564,관광펜션업,,관리지역,2,,,,숙박시설,2,0,0,0,,,0,0,,0,0,,0,194.95,,0,,,,,,,0,,,,195
471,관광펜션업,03_11_02_P,4251000,CDFI3261092022000004,2022-11-09,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 북방면 노일리 736-1,강원특별자치도 홍천군 북방면 노일로 206-7,25111,빌리지 736-1,2023-01-18 9:50,I,2023-06-13 0:00,,264782.5488,464216.0018,관광펜션업,,관리지역,2,,,,숙박시설,2,0,0,0,,,0,0,,0,0,,0,228.16,,0,,,,,,,0,,,,228
472,관광펜션업,03_11_02_P,4251000,CDFI3261092004000002,2004-06-21,,01,영업/정상,13,영업중,,,,,033-435-8588,,250-856,강원특별자치도 홍천군 서면 어유포리 294-1,강원특별자치도 홍천군 서면 팔봉산로 1047-4,,관광펜션 곰,2024-01-08 16:03,U,2024-01-10 2:40,,260733.1283,466867.7723,관광펜션업,,,2,,,,,0,0,0,0,TOURISM PENSYEON GOM,TOURISM PENSYEON,0,0,,0,0,,0,376.02,,0,,,,,,,0,,,,376
473,관광펜션업,03_11_02_P,4251000,CDFI3261092005000001,2005-01-31,,01,영업/정상,13,영업중,,,,,033-432-8199,,250-875,강원특별자치도 홍천군 남면 화전리 352,강원특별자치도 홍천군 남면 화전들길 59-29,,양덕드림빌1호 관광펜션,2024-01-08 16:03,U,2024-01-10 2:40,,266452.9394,457097.226,관광펜션업,,,2,,,,,0,0,0,0,YANGDEOK DREAMVILL 1ST TOURISM PENSYEON,TOURISM PENSYEON,0,0,,0,0,,0,185.02,,0,,,,,,,0,,,,185
474,관광펜션업,03_11_02_P,4251000,CDFI3261092005000002,2005-09-26,,01,영업/정상,13,영업중,,,,,033-434-8337,,250-856,강원특별자치도 홍천군 서면 팔봉리 80,강원특별자치도 홍천군 서면 팔봉강변길 229,,타샤의 정원 관광펜션,2024-01-08 16:05,U,2024-01-10 2:40,,262533.4548,466365.3083,관광펜션업,,,2,,,,,0,0,0,0,TASHA'S GARDEN TOURISM PENSYEON,TOURISM PENSYEON,0,0,,0,0,,0,245.62,,0,,,,,,,0,,,,246
475,관광펜션업,03_11_02_P,4251000,CDFI3261092006000001,2006-02-15,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 서면 팔봉리 81-5,강원특별자치도 홍천군 서면 팔봉강변길 209-26,25101,까사모로1,2024-01-08 16:06,U,2024-01-10 2:40,,262509.7918,466306.9563,관광펜션업,,,2,,,,,0,0,0,0,Casamoro 1,TOURISM PENSYEON,0,0,,0,0,,0,232,,0,,,,,,,0,,,,232
476,관광펜션업,03_11_02_P,4251000,CDFI3261092006000002,2006-07-04,,01,영업/정상,13,영업중,,,,,033-434-2920,,250-882,강원특별자치도 홍천군 북방면 노일리 955,강원특별자치도 홍천군 북방면 노일로 368-13,,관광펜션 라스뗄라,2024-01-08 16:07,U,2024-01-10 2:40,,264481.4746,465719.5366,관광펜션업,,,3,,,,,0,0,0,0,LA STELLA  TOURISM PENSYEON,TOURISM PENSYEON,0,0,,0,0,,0,531,,0,,,,,,,0,,,,531
477,관광펜션업,03_11_02_P,4251000,CDFI3261092007000002,2007-11-27,,01,영업/정상,13,영업중,,,,,,,250-856,강원특별자치도 홍천군 서면 팔봉리 85,강원특별자치도 홍천군 서면 팔봉강변길 209-10,,아침의 향기 관광펜션,2024-01-08 16:07,U,2024-01-10 2:40,,262537.8581,466215.1576,관광펜션업,,,2,,,,,0,0,0,0,AROMA  TOURISM PENSYEON,TOURISM PENSYEON,0,0,,0,0,,0,251,,0,,,,,,,0,,,,251
478,관광펜션업,03_11_02_P,4251000,CDFI3261092011000001,2011-11-15,,01,영업/정상,13,영업중,,,,,433-6069,,250-812,강원특별자치도 홍천군 화촌면 장평리 928,강원특별자치도 홍천군 화촌면 장평골말길 119,25159,이화펜션,2024-01-08 16:07,U,2024-01-10 2:40,,292927.6819,473630.6637,관광펜션업,,관리지역,1,기타,,,단독주택,1,0,0,0,,,0,0,,0,0,,0,98.13,,0,,,,,,,300000000,,,,98
479,관광펜션업,03_11_02_P,4201000,CDFI3261092023000001,2023-02-16,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 강릉시 연곡면 삼산리 706,강원특별자치도 강릉시 연곡면 진고개로 1397-9,25400,행복이 가득한 집,2023-02-16 18:16,I,2023-06-13 0:00,,348898.3977,484152.4189,관광펜션업,,,2,,,,,2,0,0,0,,,0,0,,0,0,,0,277.25,,0,,,,,,,0,,,,277
480,관광펜션업,03_11_02_P,4201000,CDFI3261092023000002,2023-03-22,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 강릉시 사천면 판교리 514-4,강원특별자치도 강릉시 사천면 너다리길 87,25435,고심스테이,2023-03-22 10:20,I,2023-06-13 0:00,,362869.3517,482862.7988,관광펜션업,,,3,,,,단독주택,3,0,0,0,,,0,0,,0,0,,0,249.06,,0,,,,,,,500000000,,,,249
481,관광펜션업,03_11_02_P,4281000,CDFI3261092006000001,2006-02-01,,01,영업/정상,13,영업중,,,,,,,232-924,강원특별자치도 평창군 봉평면 유포리 227-3,,,솔섬마을 관광펜션,2006-02-01 15:28,I,2023-06-13 0:00,,322134.2851,447848.5271,관광펜션업,관광사업,관리지역,1,,,,단독주택,1,0,0,0,,,0,0,,0,0,,0,313,,0,,,,,,,0,,,,313
482,관광펜션업,03_11_02_P,4281000,CDFI3261092006000003,2006-12-13,,01,영업/정상,13,영업중,,,,,033-336-1771,,232-921,강원특별자치도 평창군 봉평면 원길리 1041-1,강원특별자치도 평창군 봉평면 봉평북로 193-28,,붓꽃섬 관광펜션,2006-12-13 17:44,I,2023-06-13 0:00,,319494.4663,458476.9205,관광펜션업,관광사업,관리지역,1,기타,,,단독주택,1,0,0,0,,,0,0,,0,0,,0,990,,0,,,,,,,500000000,,,,990
483,관광펜션업,03_11_02_P,4281000,CDFI3261092008000001,2008-01-10,,01,영업/정상,13,영업중,,,,,,,232-924,강원특별자치도 평창군 봉평면 평촌리 550-1,강원특별자치도 평창군 봉평면 평온길 14-13,,베리온리조트,2008-01-10 11:34,I,2023-06-13 0:00,,321933.091,456364.6714,관광펜션업,관광사업,관리지역,3,기타,,,근린생활시설,3,0,0,0,,,0,0,,0,0,,0,1376.41,,0,,,,,,,95340000,,,,1376
484,관광펜션업,03_11_02_P,4281000,CDFI3261092008000002,2008-01-10,,01,영업/정상,13,영업중,,,,,,,232-924,강원특별자치도 평창군 봉평면 평촌리 550-5,,,베리온리조트1,2008-01-10 11:39,I,2023-06-13 0:00,,321988.6535,456350.2578,관광펜션업,관광사업,관리지역,2,기타,,,숙박시설,2,1,0,0,,,0,0,,0,0,,0,712.05,,0,,,,,,,60000000,,,,712
485,관광펜션업,03_11_02_P,4281000,CDFI3261092008000003,2008-04-29,,01,영업/정상,13,영업중,,,,,332-7778,,232-811,강원특별자치도 평창군 방림면 계촌리 2228-2,강원특별자치도 평창군 방림면 감동지길 104,,그랑샤리오,2008-04-29 17:28,I,2023-06-13 0:00,,312533.2789,442575.995,관광펜션업,관광사업,관리지역,2,기타,,,단독주택,2,0,0,0,,,0,0,,0,0,,0,196.15,,0,,,,,,,0,,,,196
486,관광펜션업,03_11_02_P,4281000,CDFI3261092009000001,2009-03-26,,01,영업/정상,13,영업중,,,,,033-336-0412,,232-942,강원특별자치도 평창군 진부면 상월오개리 404 1통,강원특별자치도 평창군 진부면 지령동길 51,,체르맛트,2009-03-26 11:41,I,2023-06-13 0:00,,334031.3788,458600.8461,관광펜션업,,관리지역,2,기타,,,다가구용 주택(공동주택적용),2,0,0,0,,,0,0,,0,0,,0,128.49,,0,,,,,,,0,,,,128
487,관광펜션업,03_11_02_P,4281000,CDFI3261092012000001,2012-08-06,,01,영업/정상,13,영업중,,,,,033-335-8001,,232-924,강원특별자치도 평창군 봉평면 평촌리 550-2,강원특별자치도 평창군 봉평면 평온길 14-13,25310,베리온리조트2,2012-08-06 14:59,I,2023-06-13 0:00,,322137.3466,456456.3652,관광펜션업,,,2,,,,숙박시설,2,0,0,0,,,0,0,,0,0,,0,451.7,,0,,,,,,,0,,,,452
488,관광펜션업,03_11_02_P,4281000,CDFI3261092021000001,2021-02-04,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 평창군 평창읍 후평리 376-4 청성애원,"강원특별자치도 평창군 평창읍 살구실길 53-10, 청성애원",25372,청성펜션,2022-02-15 13:18,I,2023-06-13 0:00,,322532.0326,431323.5887,관광펜션업,,관리지역,0,기타,,,숙박시설,3,1,0,0,,,0,0,,0,0,,0,322.72,,0,,,,,,,2100000000,,,,323
489,관광펜션업,03_11_02_P,4281000,CDFI3261092023000001,2023-05-30,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 평창군 진부면 호명리 180-1,강원특별자치도 평창군 진부면 호명길 313-31,25329,취호가,2024-01-17 16:30,U,2024-01-19 2:40,,340918.1836,460758.6468,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
490,관광펜션업,03_11_02_P,4251000,CDFI3261092012000001,2012-05-24,,01,영업/정상,13,영업중,,,,,033-435-9164,,250-881,강원특별자치도 홍천군 북방면 장항리 118-1,강원특별자치도 홍천군 북방면 노루목길 71,25116,시실리펜션,2024-01-08 16:08,U,2024-01-10 2:40,,269872.3444,465889.8232,관광펜션업,,관리지역,2,기타,,,숙박시설,1,0,0,0,,,0,0,,0,0,,0,198.74,,0,,,,,,,300000000,,,,199
491,관광펜션업,03_11_02_P,4251000,CDFI3261092012000003,2012-07-30,,01,영업/정상,13,영업중,,,,,033-436-8300,,250-812,강원특별자치도 홍천군 화촌면 군업리 884,강원특별자치도 홍천군 화촌면 군업안말길 153-16,25159,소토보체,2024-01-08 16:08,U,2024-01-10 2:40,,288863.7957,471649.7372,관광펜션업,,일반주거지역,2,기타,,,숙박시설,0,0,0,0,,,0,0,,0,0,,0,581.1,,0,,,,,,,0,,,,581
492,관광펜션업,03_11_02_P,4251000,CDFI3261092013000001,2013-01-02,,01,영업/정상,13,영업중,,,,,033-433-5050,,250-833,강원특별자치도 홍천군 서석면 수하리 1301-26,강원특별자치도 홍천군 서석면 진여울길46번길 31,25165,진여울펜션,2024-01-08 16:08,U,2024-01-10 2:40,,302378.049,471590.2117,관광펜션업,,관리지역,2,기타,,,단독주택,2,0,0,0,,,0,0,,0,0,,0,385.72,,0,,,,,,,100000000,,,,386
493,관광펜션업,03_11_02_P,4251000,CDFI3261092013000002,2013-06-15,,01,영업/정상,13,영업중,,,,,033-433-5171,,250-812,강원특별자치도 홍천군 화촌면 군업리 959,강원특별자치도 홍천군 화촌면 답연밭길 54,25159,강변통나무펜션,2024-01-08 16:09,U,2024-01-10 2:40,,290116.2588,471192.8265,관광펜션업,,,1,,,,,1,0,0,0,RIVERSIDE LOG CABIN TOURISM  PENSYEON,TOURISM  PENSYEON,0,0,,0,0,,0,229,,0,,,,,,,0,,,,229
494,관광펜션업,03_11_02_P,4251000,CDFI3261092015000003,2015-05-28,,01,영업/정상,13,영업중,,,,,,,250-852,강원특별자치도 홍천군 서면 대곡리 1040-1,강원특별자치도 홍천군 서면 한서로 1477,25103,마이웨이 비발디 관광펜션,2024-01-08 16:09,U,2024-01-10 2:40,,255745.7672,460038.1878,관광펜션업,,관리지역,3,기타,,,숙박시설,2,0,0,0,MY WAY VIVALDI Tourist pension,Tourist pension business,0,0,,0,0,,0,240.92,,0,,,,,,,400000000,,,,241
495,관광펜션업,03_11_02_P,4251000,CDFI3261092016000003,2016-06-02,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 영귀미면 덕치리 267-4,강원특별자치도 홍천군 영귀미면 덕치새들길 1-5,25152,펜션21,2024-01-08 16:09,U,2024-01-10 2:40,,282289.4817,465591.2688,관광펜션업,,,2,,,,,0,0,0,0,PENSYEON 21,TOURISM PENSYEON,0,0,,0,0,,0,230,,0,,,,,,,0,,,,230
496,관광펜션업,03_11_02_P,4251000,CDFI3261092016000004,2016-08-19,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 서면 대곡리 1028-12,강원특별자치도 홍천군 서면 한서로 1466,25103,다인펜션,2024-01-08 16:10,U,2024-01-10 2:40,,255686.1492,459872.778,관광펜션업,,,3,,,,숙박시설,0,0,0,0,DAIN PENSYEON,TOURISM PENSYEON,0,0,,0,0,,0,355.35,,0,,,,,,,0,,,,355
497,관광펜션업,03_11_02_P,4251000,CDFI3261092017000001,2017-10-20,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 서석면 어론리 886-3,강원특별자치도 홍천군 서석면 공작산로 2616,25165,우노하우스2,2024-01-08 16:10,U,2024-01-10 2:40,,300020.6621,467113.6242,관광펜션업,,관리지역,2,기타,,,근린생활시설,2,0,0,0,UNO HOUSE2,TOURISM PENSYEON,0,0,,0,0,,0,735.56,,0,,,,,,,0,,,,736
498,관광펜션업,03_11_02_P,4251000,CDFI3261092018000001,2018-12-07,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 서면 굴업리 310-1,강원특별자치도 홍천군 서면 굴업솔골길 33,25103,오캄럭스클럽 1단지,2024-01-08 16:10,U,2024-01-10 2:40,,259258.7241,457770.1224,관광펜션업,,관리지역,2,기타,,,숙박시설,2,0,0,0,,,0,0,,0,0,,0,184.77,,0,,,,,,,0,,,,185
499,관광펜션업,03_11_02_P,4251000,CDFI3261092018000003,2018-12-07,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 서면 굴업리 312-17,강원특별자치도 홍천군 서면 굴업솔골길 29,25103,오캄럭스클럽 3단지,2024-01-08 16:11,U,2024-01-10 2:40,,259212.2743,457765.2199,관광펜션업,,관리지역,2,기타,,,숙박시설,2,0,0,0,,,0,0,,0,0,,0,199.08,,0,,,,,,,0,,,,199
500,관광펜션업,03_11_02_P,4251000,CDFI3261092019000001,2019-12-05,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 서면 모곡리 305-13,강원특별자치도 홍천군 서면 설밀길 190-11,25100,토리아이풀빌라골프텔,2024-02-06 12:59,U,2024-02-08 2:40,,252091.9369,464479.3477,관광펜션업,,관리지역,1,기타,,,숙박시설,1,0,0,0,,,0,0,,0,0,,0,69.36,,0,,,,,,,0,,,,69
501,관광펜션업,03_11_02_P,4251000,CDFI3261092019000002,2019-12-05,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 홍천군 서면 모곡리 305-11,강원특별자치도 홍천군 서면 설밀길 190-15,25100,토리아이풀빌라 스파1동,2024-01-08 16:11,U,2024-01-10 2:40,,252133.8801,464518.1905,관광펜션업,,관리지역,1,기타,,,숙박시설,1,0,0,0,,,0,0,,0,0,,0,54.42,,0,,,,,,,0,,,,54
502,관광펜션업,03_11_02_P,4201000,CDFI3261092005000001,2005-01-12,,01,영업/정상,13,영업중,,,,,,,210-863,강원특별자치도 강릉시 연곡면 삼산리 141,강원특별자치도 강릉시 연곡면 소금강길 372-12,,마운틴밸리관광펜션,2008-11-24 17:02,I,2023-06-13 0:00,,350577.1019,481401.362,관광펜션업,관광사업,관리지역,2,기타,,,,2,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
503,관광펜션업,03_11_02_P,4201000,CDFI3261092010000001,2010-11-03,,01,영업/정상,13,영업중,,,,,033-660-5000,,210-863,강원특별자치도 강릉시 연곡면 삼산리 95,강원특별자치도 강릉시 연곡면 소금강길 379-32,,힐스파이브 관광펜션,2014-01-17 17:08,I,2023-06-13 0:00,,350923.7563,481093.3191,관광펜션업,,,3,기타,,,숙박시설,3,0,0,0,,,0,0,,0,0,,0,3131,,0,,,,,,,500000000,,,,3131
504,관광펜션업,03_11_02_P,4201000,CDFI3261092015000001,2015-06-11,,01,영업/정상,13,영업중,,,,,,,210-380,강원특별자치도 강릉시 안현동 348-3,강원특별자치도 강릉시 하남길255번길 6-22 (안현동),25459,르샤트리,2020-08-03 16:58,I,2023-06-13 0:00,,366527.2268,480103.3115,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
505,관광펜션업,03_11_02_P,4201000,CDFI3261092019000001,2019-10-23,,01,영업/정상,13,영업중,,,,,033-641-7779,,,강원특별자치도 강릉시 안현동 188 바다가 좋아펜션,"강원특별자치도 강릉시 해안로621번길 7, 바다가 좋아펜션 (안현동)",25459,바다가 좋아펜션,2019-10-23 17:01,I,2023-06-13 0:00,,367070.044,480546.3544,관광펜션업,,관리지역,3,기타,,,숙박시설,3,1,0,0,,,0,0,,0,0,,0,397.72,,0,,,,,,,690000000,,,,398
506,관광펜션업,03_11_02_P,4201000,CDFI3261092021000001,2021-06-10,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 강릉시 초당동 316,강원특별자치도 강릉시 초당순두부길55번길 24 (초당동),25466,초당하우스,2021-06-10 14:01,I,2023-06-13 0:00,,368517.4664,478155.0972,관광펜션업,,일반주거지역,3,,,,,0,0,0,0,,,0,0,,0,0,,0,177.9,,0,,,,,,,0,,,,178
507,관광펜션업,03_11_02_P,4201000,CDFI3261092021000002,2021-11-15,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 강릉시 저동 42-6,강원특별자치도 강릉시 경포로371번길 27-6 (저동),25461,까미경포펜션,2021-11-15 8:57,I,2023-06-13 0:00,,366989.7517,478986.3056,관광펜션업,,,2,,,,,2,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
508,관광펜션업,03_11_02_P,4201000,CDFI3261092021000003,2021-11-15,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 강릉시 저동 42-23,강원특별자치도 강릉시 경포로371번길 27-8 (저동),25461,발리경포펜션,2024-01-16 13:26,U,2024-01-18 2:40,,366975.512,478988.0273,관광펜션업,,일반주거지역,2,,,,,2,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
509,관광펜션업,03_11_02_P,4201000,CDFI3261092022000001,2022-02-09,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 강릉시 사천면 사천진리 192-4,강원특별자치도 강릉시 사천면 손맞이길 91-9,25435,컴페니온,2023-06-26 10:58,U,2023-06-28 2:40,,364199.2828,483826.013,관광펜션업,,,2,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
510,관광펜션업,03_11_02_P,4201000,CDFI3261092022000002,2022-02-23,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 강릉시 성산면 보광리 487,강원특별자치도 강릉시 성산면 보광본길 16-11,25442,연소담,2022-02-23 10:41,I,2023-06-13 0:00,,358347.9078,473071.3377,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
511,관광펜션업,03_11_02_P,4201000,CDFI3261092022000003,2022-04-28,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 강릉시 강동면 정동진리 524-1,강원특별자치도 강릉시 강동면 율곡로 1458,25631,스테이인터뷰,2022-05-09 14:23,I,2023-06-13 0:00,,377377.3996,469184.5083,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
512,관광펜션업,03_11_02_P,4271000,CDFI3261092019000001,2019-03-20,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 영월군 김삿갓면 주문리 6-1,강원특별자치도 영월군 김삿갓면 영월동로 2295-12,26246,비브릿지,2019-03-20 15:10,I,2023-06-13 0:00,,344661.5703,403313.5533,관광펜션업,,,0,,,,숙박시설,0,0,0,0,,,0,0,,0,0,,0,1726.19,,0,,,,,,,0,,,,1726
513,관광펜션업,03_11_02_P,4271000,CDFI3261092023000001,2023-03-30,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 영월군 주천면 신일리 901,"강원특별자치도 영월군 주천면 신흥동길 206, 몽상가의 정원",26205,몽상가의 정원,2023-03-30 14:09,I,2023-06-13 0:00,,308663.4376,419512.806,관광펜션업,,관리지역,1,기타,,,단독주택,1,0,0,0,,,0,0,,0,0,,0,220.87,,0,,,,,,,700000000,,,,221
514,관광펜션업,03_11_02_P,4351000,CDFI3261092007000001,2007-07-19,,01,영업/정상,13,영업중,,,,,033-673-9111,,,강원특별자치도 양양군 현북면 중광정리 121-4,강원특별자치도 양양군 현북면 동해대로 1579-25,25046,지오 파인트리,2023-05-16 12:18,I,2023-06-13 0:00,,350105.7367,504028.3952,관광펜션업,관광사업,관리지역,3,기타,,,숙박시설,3,0,0,0,,,0,0,,0,0,,0,245.12,,0,,,,,,,0,,,,245
